Filename,Data Type,File Size (bytes),Samples per Channel,Channels,FLAC Ratio,Delta-Huffman Ratio,LZ77 Ratio
data0_x.raw,Single-axis,26668,13334,1,3.194,6667.000,6.786
data0_y.raw,Single-axis,26668,13334,1,3.194,6667.000,6.786
data0_z.raw,Single-axis,26668,13334,1,1.342,2.047,0.934
data1_x.raw,Single-axis,26668,13334,1,3.194,6667.000,6.786
data1_y.raw,Single-axis,26668,13334,1,3.194,6667.000,6.786
data1_z.raw,Single-axis,26668,13334,1,1.621,3.196,1.221
data2_x.raw,Single-axis,2988,1494,1,0.346,15.323,6.715
data2_y.raw,Single-axis,2986,1493,1,0.359,746.500,6.710
data2_z.raw,Single-axis,2986,1493,1,0.359,746.500,6.710
data3_x.raw,Single-axis,17826,8913,1,0.756,0.831,1.004
data3_y.raw,Single-axis,17826,8913,1,0.755,0.832,1.007
data3_z.raw,Single-axis,17826,8913,1,0.755,0.833,1.005
TX-01052_5716_1677760203.raw,Single-axis,65536,32768,1,1.076,9.163,3.523
TX-01140_6482_1673395208.raw,Single-axis,25600,12800,1,0.754,1.917,0.858
TX-01140_6484_1673395270.raw,Single-axis,8000,4000,1,0.490,2.490,0.947
TX-01333_8209_1673371806.raw,Single-axis,65536,32768,1,0.887,1.650,0.805
TX-01333_8210_1673371840.raw,Single-axis,65536,32768,1,0.887,1.336,0.780
TX-01333_8212_1673371662.raw,Single-axis,65536,32768,1,3.761,7.560,3.984
TX-01333_8213_1673371940.raw,Single-axis,65536,32768,1,0.918,4.582,1.840
TX-01338_8265_1673371876.raw,Single-axis,65536,32768,1,0.887,1.811,0.840
TX-01338_8266_1673371909.raw,Single-axis,65536,32768,1,0.887,1.054,0.744
VM3-00260_662_1677764365.raw,Three-axis,80004,13334,3,0.905,0.731,0.664
VM3-00260_662_1677764577.raw,Three-axis,83922,13987,3,0.910,0.692,0.651
